['所属小区:碧桂园城市花园', '房屋户型:3室2厅1卫', '房屋单价:15944元/m²', '所在位置:增城－朱村－朱村街', '建筑面积:94.1平方米', '参考首付:45.00万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:花都万达城', '房屋户型:2室2厅1卫', '房屋单价:21753元/m²', '所在位置:花都－中区－凤凰北路', '建筑面积:75.9平方米', '参考首付:49.50万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共33层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:兰亭盛荟', '房屋户型:3室2厅2卫', '房屋单价:49059元/m²', '所在位置:天河－东圃－东圃明镜路', '建筑面积:86.6平方米', '参考首付:127.50万', '建造年代:2019年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:琶洲安置新社区', '房屋户型:2室2厅1卫', '房屋单价:10262元/m²', '所在位置:海珠－琶洲－磨碟沙大街9号', '建筑面积:60平方米', '参考首付:18.47万', '建造年代:2010年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共15层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:万科里享家', '房屋户型:3室2厅2卫', '房屋单价:19401元/m²', '所在位置:萝岗－萝岗－新业路', '建筑面积:93.8平方米', '参考首付:54.60万', '建造年代:2016年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:低层(共25层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:御湖名邸', '房屋户型:3室2厅2卫', '房屋单价:24000元/m²', '所在位置:萝岗－萝岗－金坑水库路38号', '建筑面积:300平方米', '参考首付:216.00万', '建造年代:2018年', '房屋朝向:南', '房屋类型:别墅', '所在楼层:低层(共48层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:美好公寓', '房屋户型:3室2厅1卫', '房屋单价:10900元/m²', '所在位置:天河－车陂－车陂路', '建筑面积:57.8平方米', '参考首付:18.90万', '建造年代:2013年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:鸿运花园', '房屋户型:2室2厅1卫', '房屋单价:41935元/m²', '所在位置:天河－天河公园－路诚街1-50号', '建筑面积:62平方米', '参考首付:78.00万', '建造年代:1998年', '房屋朝向:东', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:万科尚城', '房屋户型:3室2厅2卫', '房屋单价:27172元/m²', '所在位置:黄埔－开发区东－黄浦东路', '建筑面积:89.4平方米', '参考首付:72.90万', '建造年代:2016年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:豪华装修', '产权年限:40年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:源海仙村一号', '房屋户型:2室2厅1卫', '房屋单价:10457元/m²', '所在位置:增城－荔城－仙村大道', '建筑面积:70平方米', '参考首付:21.96万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共25层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:广州雅居乐花园峰会', '房屋户型:4室2厅4卫', '房屋单价:42486元/m²', '所在位置:番禺－广州雅居乐－兴南大道', '建筑面积:173平方米', '参考首付:220.50万', '建造年代:2005年', '房屋朝向:东西', '房屋类型:别墅', '所在楼层:共3层', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:其他', '唯一住房:否', '一手房源:否']
['所属小区:广州院子', '房屋户型:4室3厅4卫', '房屋单价:15042元/m²', '所在位置:增城－荔城增江－增江大道南32号', '建筑面积:238平方米', '参考首付:107.40万', '建造年代:2019年', '房屋朝向:南', '房屋类型:别墅', '所在楼层:共5层', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:峻林', '房屋户型:4室2厅2卫', '房屋单价:81928元/m²', '所在位置:天河－天河北－林和东路261号', '建筑面积:229.5平方米', '参考首付:564.00万', '建造年代:2019年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共42层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:盈彩美居', '房屋户型:2室2厅1卫', '房屋单价:35526元/m²', '所在位置:天河－珠村－盈溪路', '建筑面积:76平方米', '参考首付:81.00万', '建造年代:2004年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共11层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:绿地越秀海玥', '房屋户型:3室2厅2卫', '房屋单价:39466元/m²', '所在位置:海珠－工业大道北－南边路', '建筑面积:101.1平方米', '参考首付:119.70万', '建造年代:2019年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共33层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:中国美林国际社区', '房屋户型:2室2厅2卫', '房屋单价:8364元/m²', '所在位置:花都－山前大道－山前大道168号', '建筑面积:110平方米', '参考首付:27.60万', '建造年代:2010年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:中鼎君和名城', '房屋户型:2室2厅1卫', '房屋单价:33152元/m²', '所在位置:黄埔－大沙地－丰乐北路128号', '建筑面积:75.4平方米', '参考首付:75.00万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共33层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:实地常春藤', '房屋户型:2室2厅1卫', '房屋单价:25352元/m²', '所在位置:萝岗－萝岗－禾丰路', '建筑面积:71平方米', '参考首付:54.00万', '建造年代:2015年', '房屋朝向:北', '房屋类型:普通住宅', '所在楼层:低层(共33层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:漾晴居', '房屋户型:3室2厅2卫', '房屋单价:67526元/m²', '所在位置:天河－珠江新城西－华明路21号', '建筑面积:97平方米', '参考首付:196.50万', '建造年代:2005年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共33层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:解放中路小区', '房屋户型:4室2厅3卫', '房屋单价:52222元/m²', '所在位置:越秀－北京路－解放中路', '建筑面积:126平方米', '参考首付:197.40万', '建造年代:2010年', '房屋朝向:东南', '房屋类型:别墅', '所在楼层:共1层', '装修程度:豪华装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:87中学教工宿舍', '房屋户型:3室2厅1卫', '房屋单价:21875元/m²', '所在位置:黄埔－文冲－黄埔东路', '建筑面积:80平方米', '参考首付:52.50万', '建造年代:2000年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共8层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:恒大御府', '房屋户型:4室2厅2卫', '房屋单价:46080元/m²', '所在位置:白云－梅花园－怡新路', '建筑面积:141.1平方米', '参考首付:195.00万', '建造年代:2014年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共33层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:兰亭盛荟', '房屋户型:3室2厅2卫', '房屋单价:40907元/m²', '所在位置:天河－东圃－东圃明镜路', '建筑面积:78.5平方米', '参考首付:96.30万', '建造年代:2019年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共30层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:碧桂园豪园', '房屋户型:3室2厅2卫', '房屋单价:13311元/m²', '所在位置:增城－荔城－增滩路', '建筑面积:103.7平方米', '参考首付:41.40万', '建造年代:2013年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:云星钱隆天誉', '房屋户型:3室2厅2卫', '房屋单价:13441元/m²', '所在位置:从化－太平镇－丰盈路7号', '建筑面积:93平方米', '参考首付:37.50万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共25层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:路劲隽悦豪庭', '房屋户型:3室2厅1卫', '房屋单价:18105元/m²', '所在位置:花都－新区－兰花路', '建筑面积:87.3平方米', '参考首付:47.40万', '建造年代:2012年', '房屋朝向:东北', '房屋类型:普通住宅', '所在楼层:低层(共17层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:金地香山湖', '房屋户型:3室2厅2卫', '房屋单价:13575元/m²', '所在位置:增城－永和－新新大道15号', '建筑面积:99.5平方米', '参考首付:40.50万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共16层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:保利城', '房屋户型:4室2厅2卫', '房屋单价:20139元/m²', '所在位置:花都－铁路西－花港大道', '建筑面积:144平方米', '参考首付:87.00万', '建造年代:2012年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:高层(共25层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:凯利广场', '房屋户型:2室2厅1卫', '房屋单价:20750元/m²', '所在位置:天河－黄埔大道西－黄埔大道西874号', '建筑面积:40平方米', '参考首付:24.90万', '建造年代:2014年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:低层(共19层)', '装修程度:精装修', '产权年限:40年', '配套电梯:无', '房本年限:满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:否']
['所属小区:第二金碧花园', '房屋户型:2室1厅1卫', '房屋单价:35938元/m²', '所在位置:海珠－工业大道南－工业大道南821号', '建筑面积:64平方米', '参考首付:69.00万', '建造年代:2007年', '房屋朝向:北', '房屋类型:普通住宅', '所在楼层:高层(共12层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:怡景花园', '房屋户型:2室2厅1卫', '房屋单价:24120元/m²', '所在位置:天河－员村－员村路', '建筑面积:50平方米', '参考首付:36.18万', '建造年代:2000年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:万科金色梦想', '房屋户型:3室2厅2卫', '房屋单价:30945元/m²', '所在位置:萝岗－萝岗－开源大道', '建筑面积:95.3平方米', '参考首付:88.50万', '建造年代:2011年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南沙境界(别墅)', '房屋户型:4室3厅3卫', '房屋单价:13911元/m²', '所在位置:南沙－黄阁－凤凰大道', '建筑面积:248平方米', '参考首付:103.50万', '建造年代:2012年', '房屋朝向:南', '房屋类型:别墅', '所在楼层:共3层', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:其他', '唯一住房:是', '一手房源:否']
['所属小区:中海花湾壹号', '房屋户型:4室2厅2卫', '房屋单价:44812元/m²', '所在位置:荔湾－芳村－鹤洞路220号', '建筑面积:135.9平方米', '参考首付:182.70万', '建造年代:2018年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共43层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:荔湾世纪广场', '房屋户型:2室2厅1卫', '房屋单价:38710元/m²', '所在位置:荔湾－西关－龙津中路599号', '建筑面积:93平方米', '参考首付:108.00万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共20层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:豪进广场', '房屋户型:3室2厅1卫', '房屋单价:23123元/m²', '所在位置:增城－新塘－东江大道南', '建筑面积:102.9平方米', '参考首付:71.40万', '建造年代:2016年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共30层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:鹭苑公寓', '房屋户型:1室1厅1卫', '房屋单价:32750元/m²', '所在位置:海珠－下渡路－下渡路64-76号', '建筑面积:40平方米', '参考首付:39.30万', '建造年代:1998年', '房屋朝向:南北', '房屋类型:公寓', '所在楼层:中层(共9层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满五年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:荔明苑', '房屋户型:2室2厅1卫', '房屋单价:9302元/m²', '所在位置:增城－荔城－荔乡路28号', '建筑面积:86平方米', '参考首付:24.00万', '建造年代:2005年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共17层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:宝兴翠园', '房屋户型:3室2厅2卫', '房屋单价:36375元/m²', '所在位置:天河－东圃－中山大道中1118号', '建筑面积:96.2平方米', '参考首付:105.00万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共22层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:德埔小区', '房屋户型:3室2厅1卫', '房屋单价:43125元/m²', '所在位置:天河－岗顶－黄埔大道西321号', '建筑面积:80平方米', '参考首付:103.50万', '建造年代:1997年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:低层(共8层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:时代倾城', '房屋户型:3室2厅2卫', '房屋单价:14457元/m²', '所在位置:增城－荔城－增江大道南3号', '建筑面积:96.8平方米', '参考首付:42.00万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:锦林山庄', '房屋户型:2室2厅1卫', '房屋单价:32687元/m²', '所在位置:萝岗－科学城－荔芳一街', '建筑面积:67平方米', '参考首付:65.70万', '建造年代:2011年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:长岗山庄', '房屋户型:3室2厅2卫', '房屋单价:6667元/m²', '所在位置:番禺－大石－工业四路', '建筑面积:90平方米', '参考首付:18.00万', '建造年代:2012年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:中海花湾壹号', '房屋户型:4室2厅2卫', '房屋单价:44666元/m²', '所在位置:荔湾－芳村－鹤洞路220号', '建筑面积:136.1平方米', '参考首付:182.40万', '建造年代:2017年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共57层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:汇美西苑', '房屋户型:2室1厅1卫', '房屋单价:27451元/m²', '所在位置:白云－同德围－西槎路297号', '建筑面积:51平方米', '参考首付:42.00万', '建造年代:1998年', '房屋朝向:东', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:中大城', '房屋户型:2室2厅1卫', '房屋单价:20050元/m²', '所在位置:南沙－金洲－创景街3号', '建筑面积:87.3平方米', '参考首付:52.50万', '建造年代:2015年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共30层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:保利越秀岭南林语', '房屋户型:2室2厅1卫', '房屋单价:27756元/m²', '所在位置:萝岗－萝岗－长岭路', '建筑面积:75.7平方米', '参考首付:63.00万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:品秀星图', '房屋户型:3室2厅2卫', '房屋单价:25895元/m²', '所在位置:增城－新塘－环城路', '建筑面积:95平方米', '参考首付:73.80万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:中海康城花园', '房屋户型:2室2厅1卫', '房屋单价:38312元/m²', '所在位置:天河－东圃－广州环城高速路', '建筑面积:77平方米', '参考首付:88.50万', '建造年代:2004年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共7层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:敏捷绿湖国际城', '房屋户型:2室2厅1卫', '房屋单价:11048元/m²', '所在位置:增城－荔城－增滩路', '建筑面积:72.4平方米', '参考首付:24.00万', '建造年代:2017年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:时代倾城', '房屋户型:3室2厅2卫', '房屋单价:16101元/m²', '所在位置:增城－荔城－增江大道南3号', '建筑面积:87平方米', '参考首付:42.00万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共26层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:阳光桃源', '房屋户型:2室2厅1卫', '房屋单价:34923元/m²', '所在位置:天河－东圃－桃园路3号', '建筑面积:65平方米', '参考首付:68.10万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共17层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:万科欧泊', '房屋户型:3室2厅2卫', '房屋单价:41057元/m²', '所在位置:番禺－南村镇－兴南大道368号', '建筑面积:95平方米', '参考首付:117.00万', '建造年代:2016年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:高层(共35层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:天誉半岛花园', '房屋户型:5室2厅5卫', '房屋单价:83293元/m²', '所在位置:海珠－革新路－同福西路40号', '建筑面积:270.1平方米', '参考首付:675.00万', '建造年代:2015年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:低层(共42层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:万科红郡', '房屋户型:4室3厅5卫', '房屋单价:46377元/m²', '所在位置:番禺－华南－汉溪大道东', '建筑面积:345平方米', '参考首付:480.00万', '建造年代:2014年', '房屋朝向:南北', '房屋类型:别墅', '所在楼层:共4层', '装修程度:毛坯', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:现代城市家园', '房屋户型:3室2厅2卫', '房屋单价:17302元/m²', '所在位置:增城－新塘－港口大道北', '建筑面积:87.9平方米', '参考首付:45.60万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:凤馨苑(碧桂园凤凰城)', '房屋户型:2室2厅1卫', '房屋单价:23184元/m²', '所在位置:增城－凤凰城－凤凰城大道', '建筑面积:90.6平方米', '参考首付:63.00万', '建造年代:2008年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共11层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:大沙地西小区', '房屋户型:3室2厅1卫', '房屋单价:24750元/m²', '所在位置:黄埔－大沙地－港湾路616号', '建筑面积:80平方米', '参考首付:59.40万', '建造年代:2000年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共42层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:江岸花园(保利西海岸)', '房屋户型:3室2厅2卫', '房屋单价:29869元/m²', '所在位置:白云－金沙洲－彩滨北路', '建筑面积:97.1平方米', '参考首付:87.00万', '建造年代:2013年', '房屋朝向:西北', '房屋类型:普通住宅', '所在楼层:低层(共33层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:敏捷绿湖国际城', '房屋户型:3室2厅2卫', '房屋单价:11529元/m²', '所在位置:增城－荔城－增滩路', '建筑面积:85平方米', '参考首付:29.40万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:金众西关海', '房屋户型:3室2厅2卫', '房屋单价:43609元/m²', '所在位置:荔湾－南岸路－南岸路23号', '建筑面积:96.3平方米', '参考首付:126.00万', '建造年代:2015年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共30层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:深业江悦湾', '房屋户型:3室2厅2卫', '房屋单价:30520元/m²', '所在位置:白云－金沙洲－彩滨北路8号', '建筑面积:97.6平方米', '参考首付:89.40万', '建造年代:2013年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共26层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:碧桂园城市花园', '房屋户型:3室2厅2卫', '房屋单价:14429元/m²', '所在位置:增城－朱村－朱村街', '建筑面积:97平方米', '参考首付:42.00万', '建造年代:2012年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:万科金色梦想', '房屋户型:3室2厅2卫', '房屋单价:25683元/m²', '所在位置:萝岗－萝岗－开源大道', '建筑面积:85.7平方米', '参考首付:66.00万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共25层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:嘉裕公馆', '房屋户型:3室2厅3卫', '房屋单价:88889元/m²', '所在位置:天河－珠江新城中－天河花城大道80号', '建筑面积:148.5平方米', '参考首付:396.00万', '建造年代:2013年', '房屋朝向:北', '房屋类型:普通住宅', '所在楼层:高层(共33层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:骏景花园', '房屋户型:3室2厅2卫', '房屋单价:45755元/m²', '所在位置:天河－骏景路－中山大道190号', '建筑面积:106平方米', '参考首付:145.50万', '建造年代:2005年', '房屋朝向:东北', '房屋类型:普通住宅', '所在楼层:高层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:中森茗苑', '房屋户型:2室2厅1卫', '房屋单价:16781元/m²', '所在位置:增城－新塘－石新大道168号', '建筑面积:71.5平方米', '参考首付:36.00万', '建造年代:2018年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共33层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
